CustomerID,Geography,Gender,Age,AgeGroup,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,CreditScore,MonthlyTransactions,ComplaintFiled,SatisfactionScore,LoginFreqMonthly,EngagementScore,HighValueCustomer,RF_ChurnProb,LR_ChurnProb,RF_ChurnPred,RiskSegment,Exited,ChurnLabel,ActiveLabel,HasCardLabel,ComplaintLabel,RF_ChurnProb_Pct,BalanceBand,CreditTier
15634614,Spain,Female,45,36-45,2,0.0,2,0,1,27186.41,794,9,0,3,11,6.45,0,0.1370942507416095,0.2266992837747206,0,Low,0,Retained,Active,No Card,No Complaint,13.7,Zero,Very Good
15634615,France,Male,34,26-35,6,87454.7,1,1,1,151737.84,597,9,0,2,13,6.85,0,0.1589229409508041,0.3294989104620446,0,Low,0,Retained,Active,Has Card,No Complaint,15.9,$75-150K,Fair
15634616,France,Male,22,18-25,0,0.0,1,1,1,38025.26,659,15,0,3,11,7.95,0,0.600113555913853,0.4050178990101146,1,High,1,Churned,Active,Has Card,No Complaint,60.0,Zero,Fair
15634617,France,Male,44,36-45,1,0.0,4,1,0,106069.62,535,4,0,4,7,2.4,0,0.2019908146292276,0.4201935877675394,0,Low,0,Retained,Inactive,Has Card,No Complaint,20.2,Zero,Poor
15634618,France,Male,24,18-25,2,0.0,3,1,0,27866.23,713,1,0,5,2,0.65,0,0.2184763668373839,0.2483050825570057,0,Low,0,Retained,Inactive,Has Card,No Complaint,21.8,Zero,Good
15634619,Germany,Male,25,18-25,9,0.0,2,0,1,145261.02,750,8,0,5,9,5.8,0,0.0581183335717932,0.0272892418714595,0,Low,0,Retained,Active,No Card,No Complaint,5.8,Zero,Very Good
15634620,France,Male,51,46-55,6,158638.32,1,0,1,65340.42,719,8,0,4,14,6.8,1,0.0181293646662973,0.0452061027234421,0,Low,0,Retained,Active,No Card,No Complaint,1.8,$150K+,Good
15634621,France,Male,24,18-25,3,22963.37,2,0,0,24904.64,737,5,1,1,1,1.45,0,0.942333349021828,0.9855750081801417,1,Critical,1,Churned,Inactive,No Card,Complaint,94.2,$1-25K,Good
15634622,Germany,Male,18,18-25,7,95497.18,1,1,1,94167.94,648,5,0,2,11,5.45,0,0.1728144491637099,0.455193412367584,0,Low,0,Retained,Active,Has Card,No Complaint,17.3,$75-150K,Fair
15634623,France,Male,44,36-45,7,0.0,1,1,1,159398.59,692,5,1,1,11,5.45,0,0.9223314080860924,0.9717570038515309,1,Critical,1,Churned,Active,Has Card,Complaint,92.2,Zero,Good
15634624,France,Female,34,26-35,0,0.0,2,1,0,102569.86,735,2,1,1,1,0.7,0,0.9611850277695146,0.9942438393699128,1,Critical,1,Churned,Inactive,Has Card,Complaint,96.1,Zero,Good
15634625,France,Male,35,26-35,4,500.0,2,0,0,96402.22,759,0,1,2,3,0.6,0,0.9500566284640396,0.9489380499198072,1,Critical,1,Churned,Inactive,No Card,Complaint,95.0,$1-25K,Very Good
15634626,France,Female,34,26-35,0,0.0,1,1,1,60586.62,649,9,0,4,10,6.25,0,0.0394523112514445,0.1516452838670222,0,Low,0,Retained,Active,Has Card,No Complaint,3.9,Zero,Fair
15634627,Spain,Male,40,36-45,6,500.0,2,1,1,63341.59,591,6,0,5,11,5.7,0,0.0107998921318444,0.0193789474206972,0,Low,0,Retained,Active,Has Card,No Complaint,1.1,$1-25K,Fair
15634628,France,Female,29,26-35,3,77825.98,2,1,1,149286.49,782,9,0,2,12,6.65,0,0.1749635045486934,0.329392141590992,0,Low,0,Retained,Active,Has Card,No Complaint,17.5,$75-150K,Very Good
15634629,Germany,Female,54,46-55,7,500.0,2,1,1,101998.44,659,13,0,4,8,6.85,0,0.0300988106173559,0.0477265581712903,0,Low,0,Retained,Active,Has Card,No Complaint,3.0,$1-25K,Fair
15634630,Germany,Female,21,18-25,7,54118.43,1,0,0,53615.17,646,0,1,5,2,0.4,0,0.418095428856983,0.5327671982801385,0,Medium,0,Retained,Inactive,No Card,Complaint,41.8,$25-75K,Fair
15634631,France,Female,42,36-45,8,0.0,1,1,0,153107.1,582,2,0,5,4,1.3,0,0.0853644607861355,0.0987778352896567,0,Low,0,Retained,Inactive,Has Card,No Complaint,8.5,Zero,Fair
15634632,Germany,Male,45,36-45,10,53663.54,2,1,0,57685.46,641,1,0,2,4,1.05,0,0.3495968939047065,0.5483366261322964,0,Medium,0,Retained,Inactive,Has Card,No Complaint,35.0,$25-75K,Fair
15634633,France,Female,29,26-35,5,0.0,2,1,1,199049.53,616,6,0,5,12,5.9,0,0.0563926083959367,0.0392171653911305,0,Low,0,Retained,Active,Has Card,No Complaint,5.6,Zero,Fair
15634634,France,Female,26,26-35,6,124317.11,2,1,0,104439.2,561,3,0,4,2,1.15,1,0.0733319776605397,0.1393082217323153,0,Low,0,Retained,Inactive,Has Card,No Complaint,7.3,$75-150K,Poor
15634635,Spain,Female,49,46-55,6,0.0,1,1,0,89910.65,571,3,1,5,0,0.75,0,0.5055492867346993,0.6086265064907719,1,High,0,Retained,Inactive,Has Card,Complaint,50.6,Zero,Poor
15634636,Spain,Female,27,26-35,4,0.0,1,1,1,96646.85,707,8,0,5,14,6.8,0,0.0939142551495348,0.0458341526518386,0,Low,0,Retained,Active,Has Card,No Complaint,9.4,Zero,Good
15634637,Spain,Male,31,26-35,6,500.0,1,0,0,153335.2,624,2,0,2,2,0.9,0,0.6877225895291257,0.527057416231602,1,High,1,Churned,Inactive,No Card,No Complaint,68.8,$1-25K,Fair
15634638,France,Female,47,46-55,8,500.0,1,1,0,150643.37,664,1,0,3,3,0.85,0,0.3521313327869233,0.3207924509732224,0,Medium,0,Retained,Inactive,Has Card,No Complaint,35.2,$1-25K,Fair
15634639,France,Male,38,36-45,10,0.0,1,1,0,58542.93,627,4,0,5,6,2.2,0,0.1054615206144119,0.1045289157513006,0,Low,0,Retained,Inactive,Has Card,No Complaint,10.5,Zero,Fair
15634640,Germany,Female,18,18-25,3,0.0,1,0,1,98846.64,561,9,1,2,21,8.45,0,0.903885395492613,0.9533272612725244,1,Critical,1,Churned,Active,No Card,Complaint,90.4,Zero,Poor
15634641,France,Male,57,56-65,1,153388.54,2,1,1,28185.86,764,7,1,2,10,5.75,1,0.8518501590256586,0.9043386749568806,1,Critical,1,Churned,Active,Has Card,Complaint,85.2,$150K+,Very Good
15634642,France,Female,32,26-35,7,94353.66,2,0,1,63672.71,675,12,0,3,16,8.2,0,0.0269607082412007,0.1190587922710201,0,Low,0,Retained,Active,No Card,No Complaint,2.7,$75-150K,Good
15634643,France,Male,33,26-35,6,92387.93,2,1,1,147474.92,716,9,0,2,8,5.85,0,0.0915269760915087,0.2904197898051279,0,Low,0,Retained,Active,Has Card,No Complaint,9.2,$75-150K,Good
15634644,France,Male,40,36-45,5,70548.97,2,0,1,53263.66,690,7,0,1,12,6.15,0,0.1716194801229483,0.5586094767361092,0,Low,0,Retained,Active,No Card,No Complaint,17.2,$25-75K,Good
15634645,Spain,Female,44,36-45,6,176159.16,2,1,0,71082.22,641,2,0,4,3,1.1,1,0.0940606883321888,0.1088520823101225,0,Low,0,Retained,Inactive,Has Card,No Complaint,9.4,$150K+,Fair
15634646,France,Female,59,56-65,2,0.0,1,0,1,60039.2,602,5,0,4,16,6.45,0,0.1562552528802159,0.1541788663532149,0,Low,0,Retained,Active,No Card,No Complaint,15.6,Zero,Fair
15634647,Germany,Female,19,18-25,5,116647.51,1,1,1,97708.96,495,7,1,2,15,6.75,1,0.8258275632780877,0.949357469931516,1,Critical,1,Churned,Active,Has Card,Complaint,82.6,$75-150K,Very Poor
15634648,France,Male,47,46-55,9,90736.45,1,0,0,163962.52,459,2,1,4,4,1.3,0,0.5418934947616972,0.7755006952688108,1,High,0,Retained,Inactive,No Card,Complaint,54.2,$75-150K,Very Poor
15634649,Germany,Male,46,46-55,6,0.0,2,1,1,95770.04,730,6,0,5,9,5.3,0,0.0229236148500634,0.0330040996451828,0,Low,0,Retained,Active,Has Card,No Complaint,2.3,Zero,Good
15634650,Germany,Female,36,36-45,6,204846.78,1,1,1,154930.73,747,10,0,4,9,6.3,1,0.0473166131091142,0.0389055176216638,0,Low,0,Retained,Active,Has Card,No Complaint,4.7,$150K+,Very Good
15634651,France,Female,46,46-55,4,0.0,1,1,1,147211.5,772,10,0,3,13,7.1,0,0.1045484451034627,0.2316313657676023,0,Low,0,Retained,Active,Has Card,No Complaint,10.5,Zero,Very Good
15634652,Spain,Female,48,46-55,2,0.0,1,1,0,88972.72,639,5,1,2,3,1.85,0,0.9562229781716488,0.9778595128998984,1,Critical,1,Churned,Inactive,Has Card,Complaint,95.6,Zero,Fair
15634653,Spain,Male,22,18-25,1,136523.99,2,0,0,63591.81,585,6,0,4,5,2.5,1,0.1223382198921801,0.1819138814107091,0,Low,0,Retained,Inactive,No Card,No Complaint,12.2,$75-150K,Fair
15634654,Spain,Female,57,56-65,6,0.0,2,1,1,57094.4,708,4,0,3,13,5.6,0,0.1250352349876211,0.2527407978471219,0,Low,0,Retained,Active,Has Card,No Complaint,12.5,Zero,Good
15634655,Spain,Male,20,18-25,3,107686.08,1,1,1,102991.95,767,8,0,3,18,7.6,1,0.0941879210892782,0.1870913037799277,0,Low,0,Retained,Active,Has Card,No Complaint,9.4,$75-150K,Very Good
15634656,Germany,Male,25,18-25,1,34395.47,1,1,1,150792.93,815,4,0,1,11,5.2,0,0.4986365023123944,0.6804766834244914,0,Medium,1,Churned,Active,Has Card,No Complaint,49.9,$25-75K,Exceptional
15634657,Spain,Male,35,26-35,7,77489.94,1,1,0,105192.32,621,5,0,4,6,2.45,0,0.0713538310252305,0.1473274418684675,0,Low,0,Retained,Inactive,Has Card,No Complaint,7.1,$75-150K,Fair
15634658,France,Male,59,56-65,1,500.0,1,1,0,153374.86,740,3,0,1,3,1.35,0,0.7620933240464688,0.8642657907823816,1,Critical,1,Churned,Inactive,Has Card,No Complaint,76.2,$1-25K,Very Good
15634659,France,Female,34,26-35,5,17714.64,1,1,0,66035.45,695,2,0,3,2,0.9,0,0.3148952297272815,0.3777568873644293,0,Medium,0,Retained,Inactive,Has Card,No Complaint,31.5,$1-25K,Good
15634660,France,Male,37,36-45,3,0.0,1,1,0,149670.85,654,2,1,3,5,1.5,0,0.9278544070346432,0.9375378170986236,1,Critical,1,Churned,Inactive,Has Card,Complaint,92.8,Zero,Fair
15634661,France,Male,53,46-55,8,27492.75,2,0,1,99436.91,588,9,0,5,8,5.85,0,0.0162707391494271,0.0175790049609061,0,Low,0,Retained,Active,No Card,No Complaint,1.6,$25-75K,Fair
15634662,France,Male,34,26-35,4,0.0,1,0,0,55262.17,772,2,0,2,0,0.5,0,0.7586455726156746,0.7270252397902406,1,Critical,1,Churned,Inactive,No Card,No Complaint,75.9,Zero,Very Good
15634663,France,Male,25,18-25,3,40929.77,2,1,0,59057.33,761,3,0,3,7,2.15,0,0.2327156210596691,0.4192000559429095,0,Low,0,Retained,Inactive,Has Card,No Complaint,23.3,$25-75K,Very Good
15634664,Spain,Female,33,26-35,7,0.0,1,1,0,28106.6,634,3,1,5,2,1.15,0,0.473918712974235,0.6372333819025146,0,Medium,0,Retained,Inactive,Has Card,Complaint,47.4,Zero,Fair
15634665,France,Male,53,46-55,2,0.0,2,1,0,149480.44,722,2,0,4,4,1.3,0,0.0955854269953495,0.2986506256052074,0,Low,0,Retained,Inactive,Has Card,No Complaint,9.6,Zero,Good
15634666,France,Male,38,36-45,8,21733.13,2,1,0,109385.88,709,1,0,5,3,0.85,0,0.0240436783354481,0.055004278316917,0,Low,0,Retained,Inactive,Has Card,No Complaint,2.4,$1-25K,Good
15634667,Germany,Female,59,56-65,7,122604.02,2,0,1,102394.46,711,8,0,4,16,7.2,1,0.0276719209823875,0.0423935744848674,0,Low,0,Retained,Active,No Card,No Complaint,2.8,$75-150K,Good
15634668,France,Female,46,46-55,7,187082.77,2,0,1,192208.73,561,7,1,5,13,6.35,1,0.1191208154313324,0.1498410285051353,0,Low,0,Retained,Active,No Card,Complaint,11.9,$150K+,Poor
15634669,Spain,Female,30,26-35,9,122043.41,2,1,0,162016.79,561,3,0,3,5,1.75,1,0.2088737890547813,0.2373858957237825,0,Low,0,Retained,Inactive,Has Card,No Complaint,20.9,$75-150K,Poor
15634670,France,Male,38,36-45,4,1089.18,2,1,0,147141.35,634,2,0,5,3,1.1,0,0.0729771828734313,0.0599536104959669,0,Low,0,Retained,Inactive,Has Card,No Complaint,7.3,$1-25K,Fair
15634671,Spain,Female,28,26-35,0,95463.63,1,1,0,62791.03,689,1,0,5,1,0.45,0,0.1018436839006179,0.0950473132292423,0,Low,0,Retained,Inactive,Has Card,No Complaint,10.2,$75-150K,Good
15634672,Spain,Female,30,26-35,10,158157.11,1,1,1,66972.98,819,7,0,4,18,7.35,1,0.0438272049640026,0.0444293490907635,0,Low,0,Retained,Active,Has Card,No Complaint,4.4,$150K+,Exceptional
15634673,France,Female,87,65+,9,37981.12,1,1,0,98183.09,510,0,0,4,3,0.6,0,0.2978620317870216,0.5185561837805156,0,Medium,0,Retained,Inactive,Has Card,No Complaint,29.8,$25-75K,Poor
15634674,France,Female,49,46-55,8,0.0,1,0,0,59061.57,757,2,0,4,2,0.9,0,0.1333846577914782,0.2211056422173723,0,Low,0,Retained,Inactive,No Card,No Complaint,13.3,Zero,Very Good
15634675,Spain,Male,47,46-55,1,23846.97,1,0,1,63841.0,528,8,0,4,14,6.8,0,0.03609760452264,0.0684822152659968,0,Low,0,Retained,Active,No Card,No Complaint,3.6,$1-25K,Poor
15634676,Germany,Female,31,26-35,0,0.0,1,0,1,69109.76,672,5,0,3,15,6.25,0,0.3046206769378699,0.3122845064604244,0,Medium,0,Retained,Active,No Card,No Complaint,30.5,Zero,Good
15634677,Germany,Male,55,46-55,5,58156.12,2,1,0,28522.67,473,0,0,1,0,0.0,0,0.7534712799638316,0.9062157038445452,1,Critical,1,Churned,Inactive,Has Card,No Complaint,75.3,$25-75K,Very Poor
15634678,Spain,Male,50,46-55,0,88395.04,2,0,0,101199.21,781,0,0,5,5,1.0,0,0.0847297488459016,0.0805883895819716,0,Low,0,Retained,Inactive,No Card,No Complaint,8.5,$75-150K,Very Good
15634679,France,Male,58,56-65,9,156571.75,2,1,1,28775.64,676,11,0,3,13,7.35,1,0.0649215492269973,0.1232246833662767,0,Low,0,Retained,Active,Has Card,No Complaint,6.5,$150K+,Good
15634680,France,Male,58,56-65,9,0.0,1,0,1,97067.79,690,9,0,5,9,6.05,0,0.1641928522274015,0.0343421893728427,0,Low,0,Retained,Active,No Card,No Complaint,16.4,Zero,Good
15634681,France,Female,21,18-25,9,60610.98,1,1,1,52024.0,729,10,0,4,11,6.7,0,0.0577791486730916,0.0711490986609475,0,Low,0,Retained,Active,Has Card,No Complaint,5.8,$25-75K,Good
15634682,Spain,Female,25,18-25,6,0.0,1,1,0,91779.98,623,3,0,5,4,1.55,0,0.0994917758169033,0.1180456102357956,0,Low,0,Retained,Inactive,Has Card,No Complaint,9.9,Zero,Fair
15634683,Germany,Female,26,26-35,6,60291.61,2,0,0,147634.73,484,1,0,4,4,1.05,0,0.2163431116486077,0.2129738889642784,0,Low,1,Churned,Inactive,No Card,No Complaint,21.6,$25-75K,Very Poor
15634684,France,Female,27,26-35,0,0.0,3,1,0,109927.55,480,1,1,2,2,0.65,0,0.9530771384128542,0.9959273498022324,1,Critical,1,Churned,Inactive,Has Card,Complaint,95.3,Zero,Very Poor
15634685,France,Male,41,36-45,9,0.0,1,1,1,60545.14,702,4,0,5,12,5.4,0,0.0223111640649096,0.0383523194545427,0,Low,0,Retained,Active,Has Card,No Complaint,2.2,Zero,Good
15634686,France,Male,31,26-35,4,75316.88,2,0,0,23566.3,624,3,0,4,1,0.95,0,0.1226347092164868,0.1566534284981595,0,Low,0,Retained,Inactive,No Card,No Complaint,12.3,$75-150K,Fair
15634687,France,Female,60,56-65,2,169490.32,2,1,1,56619.05,765,11,0,3,11,6.95,1,0.0872800499874205,0.1761427980507365,0,Low,0,Retained,Active,Has Card,No Complaint,8.7,$150K+,Very Good
15634688,Germany,Female,58,56-65,10,0.0,1,1,1,66833.6,654,9,0,3,14,7.05,0,0.279906894784546,0.2557680354784847,0,Medium,0,Retained,Active,Has Card,No Complaint,28.0,Zero,Fair
15634689,Germany,Male,37,36-45,1,71972.31,3,0,1,153680.43,714,10,1,5,12,6.9,0,0.6476491154259139,0.2247178776637527,1,High,1,Churned,Active,No Card,Complaint,64.8,$25-75K,Good
15634690,Spain,Female,59,56-65,10,873.51,1,1,0,199999.0,738,2,0,3,3,1.1,0,0.188061010625862,0.2976587534565186,0,Low,0,Retained,Inactive,Has Card,No Complaint,18.8,$1-25K,Good
15634691,France,Male,54,46-55,4,108319.29,2,0,0,156768.2,737,1,0,2,7,1.65,1,0.3522485556915727,0.5251684418497778,0,Medium,0,Retained,Inactive,No Card,No Complaint,35.2,$75-150K,Good
15634692,France,Male,33,26-35,4,114878.34,2,1,1,94578.02,627,9,0,5,18,7.85,1,0.0167776168019167,0.0209159700296311,0,Low,0,Retained,Active,Has Card,No Complaint,1.7,$75-150K,Fair
15634693,Germany,Male,18,18-25,1,500.0,1,1,0,55101.03,659,1,0,5,3,0.85,0,0.1083308516644975,0.133158950705808,0,Low,0,Retained,Inactive,Has Card,No Complaint,10.8,$1-25K,Fair
15634694,Spain,Male,35,26-35,5,58608.76,1,1,1,65111.46,730,12,0,5,11,7.2,0,0.0185457402936682,0.0220450847459664,0,Low,0,Retained,Active,Has Card,No Complaint,1.9,$25-75K,Good
15634695,Germany,Female,30,26-35,6,500.0,1,0,0,55857.43,674,1,0,4,5,1.25,0,0.0728901742037356,0.1451554540725732,0,Low,0,Retained,Inactive,No Card,No Complaint,7.3,$1-25K,Good
15634696,Spain,Female,40,36-45,0,0.0,1,1,0,148334.1,480,1,1,2,3,0.85,0,0.9781188874507282,0.988809885530161,1,Critical,1,Churned,Inactive,Has Card,Complaint,97.8,Zero,Very Poor
15634697,France,Male,38,36-45,2,0.0,2,0,1,150657.35,442,9,0,4,17,7.65,0,0.2250423942417208,0.175097772398647,0,Low,0,Retained,Active,No Card,No Complaint,22.5,Zero,Very Poor
15634698,Germany,Female,38,36-45,3,0.0,2,1,1,28495.74,592,14,0,5,17,8.9,0,0.1088329280364307,0.040157083275794,0,Low,0,Retained,Active,Has Card,No Complaint,10.9,Zero,Fair
15634699,France,Female,43,36-45,1,140685.22,2,1,0,67036.54,740,1,0,5,2,0.65,1,0.1002499279983879,0.0647716435118869,0,Low,0,Retained,Inactive,Has Card,No Complaint,10.0,$75-150K,Very Good
15634700,France,Male,24,18-25,9,111659.81,2,1,1,107097.2,652,6,1,5,13,6.1,1,0.1244776690101391,0.2211257472367019,0,Low,0,Retained,Active,Has Card,Complaint,12.4,$75-150K,Fair
15634701,France,Male,42,36-45,10,16595.6,1,1,1,35311.38,802,6,0,4,10,5.5,0,0.0690822160071847,0.0549764840891561,0,Low,0,Retained,Active,Has Card,No Complaint,6.9,$1-25K,Exceptional
15634702,France,Female,33,26-35,4,105634.97,1,1,1,65771.71,727,4,1,3,18,6.6,1,0.4557370819318563,0.7326328529091565,0,Medium,0,Retained,Active,Has Card,Complaint,45.6,$75-150K,Good
15634703,Germany,Female,40,36-45,3,117438.65,1,0,1,92414.66,523,15,0,4,13,8.35,1,0.0328936200030841,0.0402529053099853,0,Low,0,Retained,Active,No Card,No Complaint,3.3,$75-150K,Poor
15634704,France,Female,48,46-55,10,103940.92,1,1,1,55096.1,747,10,0,4,11,6.7,1,0.0302773017552114,0.0418690725205557,0,Low,0,Retained,Active,Has Card,No Complaint,3.0,$75-150K,Very Good
15634705,Germany,Male,24,18-25,1,0.0,1,0,1,154442.61,533,7,1,1,11,5.95,0,0.7907969254451652,0.9808055842172648,1,Critical,0,Retained,Active,No Card,Complaint,79.1,Zero,Poor
15634706,Spain,Female,34,26-35,10,116204.11,2,1,0,96802.59,810,4,1,4,3,1.6,1,0.2235135347107707,0.5880844969401804,0,Low,0,Retained,Inactive,Has Card,Complaint,22.4,$75-150K,Exceptional
15634707,France,Male,36,36-45,0,0.0,1,1,0,98683.59,699,3,0,5,2,1.15,0,0.0569683855388943,0.1533954554533779,0,Low,0,Retained,Inactive,Has Card,No Complaint,5.7,Zero,Good
15634708,France,Male,32,26-35,7,202638.88,3,1,1,103143.55,787,14,0,5,12,7.9,1,0.1630931415919475,0.0135072514767463,0,Low,0,Retained,Active,Has Card,No Complaint,16.3,$150K+,Very Good
15634709,Spain,Male,47,46-55,1,0.0,1,1,0,66539.79,702,3,0,4,3,1.35,0,0.1280315871299272,0.3032614758048916,0,Low,0,Retained,Inactive,Has Card,No Complaint,12.8,Zero,Good
15634710,France,Male,30,26-35,3,43270.57,1,1,1,103273.84,649,7,0,3,13,6.35,0,0.0360523300769253,0.1879567963717426,0,Low,0,Retained,Active,Has Card,No Complaint,3.6,$25-75K,Fair
15634711,France,Male,31,26-35,9,13243.49,2,1,1,188536.61,664,15,0,4,12,8.15,0,0.0172598016821004,0.0399279649235922,0,Low,0,Retained,Active,Has Card,No Complaint,1.7,$1-25K,Fair
15634712,France,Male,30,26-35,4,31612.99,2,1,1,55063.55,566,10,0,5,14,7.3,0,0.0188406581404403,0.0274208560743027,0,Low,0,Retained,Active,Has Card,No Complaint,1.9,$25-75K,Poor
15634713,France,Male,50,46-55,1,0.0,3,0,1,102764.26,670,8,1,5,8,5.6,0,0.5307989892877804,0.3882509739759878,1,High,0,Retained,Active,No Card,Complaint,53.1,Zero,Good
15634714,Spain,Female,32,26-35,9,139117.99,2,1,0,105337.36,661,4,1,4,2,1.4,1,0.2486503122802239,0.6049952946375076,0,Low,0,Retained,Inactive,Has Card,Complaint,24.9,$75-150K,Fair
15634715,Spain,Male,43,36-45,8,130096.62,1,0,1,107358.16,703,9,0,4,13,6.85,1,0.018334679276807,0.0362769632540722,0,Low,0,Retained,Active,No Card,No Complaint,1.8,$75-150K,Good
15634716,Germany,Male,59,56-65,1,48835.42,2,1,1,53245.44,629,6,1,2,14,6.3,0,0.9030552937887848,0.9301924590001904,1,Critical,1,Churned,Active,Has Card,Complaint,90.3,$25-75K,Fair
15634717,Spain,Male,37,36-45,5,30874.55,3,1,1,35703.06,566,7,0,3,13,6.35,0,0.406040491985485,0.1480938358065249,0,Medium,1,Churned,Active,Has Card,No Complaint,40.6,$25-75K,Poor
15634718,Spain,Male,50,46-55,6,0.0,2,1,1,148336.06,649,7,0,3,8,5.35,0,0.0561710195905118,0.1998876157690472,0,Low,0,Retained,Active,Has Card,No Complaint,5.6,Zero,Fair
15634719,France,Female,56,56-65,5,0.0,2,0,1,54660.95,569,7,0,1,9,5.55,0,0.4168808134203924,0.7296808128020239,0,Medium,0,Retained,Active,No Card,No Complaint,41.7,Zero,Poor
15634720,Spain,Male,49,46-55,10,158753.58,1,1,1,63888.16,563,12,1,3,10,7.0,1,0.4641710068317588,0.6388932564699213,0,Medium,0,Retained,Active,Has Card,Complaint,46.4,$150K+,Poor
15634721,Germany,Female,37,36-45,10,33401.43,2,1,1,150492.63,529,15,0,3,12,8.15,0,0.1451656032257642,0.0989081481390359,0,Low,1,Churned,Active,Has Card,No Complaint,14.5,$25-75K,Poor
15634722,Spain,Male,45,36-45,3,131935.03,2,1,1,150998.52,637,7,0,4,9,5.55,1,0.0172264011286669,0.0436489299538802,0,Low,0,Retained,Active,Has Card,No Complaint,1.7,$75-150K,Fair
15634723,Spain,Male,23,18-25,0,500.0,2,1,1,92441.58,662,8,0,2,15,7.0,0,0.633369619303066,0.5156376578001852,1,High,1,Churned,Active,Has Card,No Complaint,63.3,$1-25K,Fair
15634724,France,Female,29,26-35,1,94135.83,2,1,0,60655.66,597,1,1,3,3,0.85,0,0.9155203224145638,0.9229599167947544,1,Critical,1,Churned,Inactive,Has Card,Complaint,91.6,$75-150K,Fair
15634725,France,Female,31,26-35,9,18291.71,2,1,0,93918.4,685,2,0,5,7,1.9,0,0.0352637490300647,0.052473389898054,0,Low,0,Retained,Inactive,Has Card,No Complaint,3.5,$1-25K,Good
15634726,France,Male,62,56-65,9,500.0,1,1,0,63596.69,641,3,0,2,3,1.35,0,0.6433541388632159,0.661150259427134,1,High,1,Churned,Inactive,Has Card,No Complaint,64.3,$1-25K,Fair
15634727,France,Female,29,26-35,5,0.0,2,1,0,62926.1,616,1,0,3,2,0.65,0,0.4339720316893579,0.5367650014929253,0,Medium,0,Retained,Inactive,Has Card,No Complaint,43.4,Zero,Fair
15634728,Spain,Male,28,26-35,7,66353.63,2,1,1,55207.43,753,11,0,2,7,6.15,0,0.1302221739938623,0.3064624605678843,0,Low,0,Retained,Active,Has Card,No Complaint,13.0,$25-75K,Very Good
